timecode,RightShoulder_2D,RightShoulder_2D.1,RightElbow_2D,RightElbow_2D.1,RightHand_2D,RightHand_2D.1,LeftShoulder_2D,LeftShoulder_2D.1,LeftElbow_2D,LeftElbow_2D.1,LeftHand_2D,LeftHand_2D.1
20.304,773.356,456.304,657.636,560.617,630.259,677.937,1067.365,425.891,1185.255,539.195,1199.198,669.846
20.337,775.469,455.505,657.92,563.827,629.928,677.783,1067.784,426.602,1182.842,544.381,1197.515,669.704
20.37,777.588,454.66,658.795,565.841,630.071,677.754,1068.364,428.452,1180.04,550.553,1196.0,669.003
20.404,779.998,454.083,659.575,567.215,630.194,677.75,1069.142,430.801,1177.158,558.169,1192.843,668.276
20.437,782.618,453.64,659.92,568.61,629.676,677.477,1070.22,433.442,1174.691,567.8,1186.762,667.777
20.47,785.415,452.751,661.809,569.399,630.171,677.537,1071.786,436.128,1172.996,579.076,1179.199,668.213
20.504,788.702,451.601,664.186,569.96,630.369,677.563,1074.052,438.672,1172.627,591.729,1170.57,669.816
20.537,792.494,450.399,667.195,570.385,630.223,677.328,1077.168,441.295,1173.638,605.318,1160.417,672.776
20.57,796.754,448.961,670.895,570.602,630.432,677.231,1080.954,444.705,1175.938,619.784,1147.486,677.279
20.604,801.433,447.405,675.081,570.623,631.042,677.189,1085.641,448.885,1178.852,634.43,1132.766,683.788
20.637,806.706,445.768,679.467,570.381,631.714,677.067,1091.105,453.433,1180.9,648.725,1119.8,693.628
20.67,812.738,444.087,684.33,570.052,632.557,677.101,1097.079,458.386,1182.768,662.056,1107.662,706.077
20.704,819.454,442.268,689.427,569.604,633.437,677.12,1103.323,463.4,1184.518,673.848,1096.707,720.439
20.737,826.555,440.685,694.366,569.054,634.175,677.07,1109.922,468.384,1186.125,684.038,1088.242,734.79
20.77,833.81,439.084,699.262,568.031,634.644,677.039,1116.655,473.176,1188.208,692.699,1080.442,746.022
20.804,841.173,437.488,704.207,566.485,635.063,676.898,1123.192,477.588,1190.929,699.778,1075.526,754.639
20.837,847.957,436.099,708.863,564.863,635.748,677.006,1129.197,481.392,1194.136,705.28,1072.26,759.054
20.87,854.018,434.863,713.045,563.314,636.195,677.004,1134.593,484.549,1197.509,709.509,1072.757,759.808
20.904,859.257,433.621,716.69,561.699,636.558,677.027,1139.759,486.509,1200.137,712.547,1073.757,760.244
20.937,863.845,432.578,719.863,560.151,636.789,676.819,1144.782,487.942,1202.357,715.092,1074.625,760.654
20.97,867.839,432.213,722.33,558.89,636.793,676.375,1149.46,489.901,1204.02,718.245,1075.186,760.847
21.004,870.971,432.752,724.409,558.347,636.508,675.889,1153.364,492.111,1205.516,721.507,1075.131,760.994
21.037,873.341,434.008,726.351,558.673,636.008,675.265,1156.535,493.962,1206.664,724.173,1075.324,761.209
21.07,874.6,435.826,728.155,559.91,635.999,674.125,1158.766,495.342,1207.567,726.123,1075.564,761.326
21.104,874.657,438.074,729.977,561.902,638.746,672.853,1159.767,496.416,1208.492,727.443,1075.743,761.365
21.137,873.328,440.173,732.006,564.477,645.351,671.805,1159.391,496.772,1209.163,727.711,1075.919,761.369
21.17,870.87,441.902,734.44,567.895,655.4,670.623,1157.878,496.358,1209.483,726.951,1076.101,761.357
21.204,867.278,443.623,735.506,572.126,666.943,669.993,1155.389,495.559,1209.573,725.612,1076.042,761.33
21.237,862.768,445.576,734.507,576.847,679.979,671.221,1152.34,494.251,1209.529,723.594,1075.732,761.274
21.27,857.469,447.843,730.97,582.187,693.978,674.231,1148.995,492.741,1209.73,721.179,1075.473,761.196
21.304,851.355,450.383,725.571,588.559,709.042,678.06,1145.337,491.287,1210.399,718.48,1075.547,761.153
21.337,844.774,453.425,718.022,595.761,724.973,683.167,1141.757,489.632,1211.402,715.371,1075.439,761.085
21.37,837.971,456.827,709.378,604.22,739.958,689.141,1138.335,487.349,1212.499,711.438,1075.247,760.987
21.404,830.916,460.405,699.849,613.662,754.264,694.796,1134.679,484.018,1213.373,706.219,1075.083,760.836
21.437,823.513,463.574,691.149,623.492,767.521,700.489,1130.594,480.024,1213.964,700.199,1074.845,760.635
21.47,816.011,467.225,682.882,633.912,778.334,705.778,1126.134,476.829,1214.014,694.794,1074.635,760.463
21.504,809.131,471.343,675.323,644.577,787.527,710.95,1121.412,474.894,1213.381,690.647,1074.505,760.307
21.537,802.814,475.47,668.129,654.941,794.658,716.727,1116.511,473.67,1211.821,687.306,1074.328,760.289
21.57,797.378,478.822,661.967,664.25,799.555,723.565,1111.977,472.474,1209.572,684.318,1074.291,760.199
21.604,792.807,481.143,656.501,671.911,803.341,730.593,1107.882,471.357,1206.697,681.686,1074.218,760.028
21.637,788.845,482.475,651.678,677.582,806.408,736.681,1104.352,470.277,1203.606,679.438,1073.958,759.786
21.67,785.611,483.309,647.256,681.51,808.669,740.887,1101.666,469.182,1200.687,677.498,1074.033,759.664
21.704,782.984,483.846,642.939,684.123,810.534,743.719,1099.511,468.309,1198.278,675.978,1073.967,759.583
21.737,780.978,484.237,639.082,685.994,812.205,745.909,1097.988,468.11,1196.751,675.198,1073.864,759.501
21.77,779.611,484.461,636.091,687.429,813.995,748.199,1097.082,468.594,1196.123,675.091,1073.857,759.52
21.804,778.774,484.667,633.964,688.533,815.435,750.681,1096.776,469.336,1196.19,675.311,1073.869,759.534
21.837,778.424,484.868,632.963,689.229,816.47,752.864,1096.993,470.041,1196.673,675.561,1074.025,759.584
21.87,778.621,485.243,632.405,689.528,816.613,754.29,1097.731,470.757,1197.466,675.935,1074.263,759.671
21.904,779.416,485.686,632.505,689.478,816.627,755.237,1099.177,471.586,1198.415,676.567,1074.304,759.795
21.937,780.65,486.191,632.619,689.118,816.486,756.121,1101.153,472.848,1199.687,677.681,1074.552,759.925
21.97,782.427,486.821,632.673,688.407,816.237,756.865,1103.588,474.364,1200.943,679.119,1075.061,760.045
22.004,784.344,487.228,632.433,687.203,815.829,757.306,1106.139,475.889,1202.353,680.668,1075.434,760.149
22.037,786.321,487.577,632.027,685.854,815.269,757.945,1108.71,477.252,1203.764,682.263,1075.578,760.226
22.07,788.251,487.881,631.121,684.335,814.468,758.725,1111.073,478.444,1204.944,683.758,1075.765,760.29
22.104,790.12,488.099,630.139,682.961,813.652,759.866,1113.297,479.383,1205.847,685.067,1075.947,760.38
22.137,791.85,488.271,628.886,681.821,812.8,761.032,1115.335,480.19,1206.475,686.282,1076.081,760.435
22.17,793.434,488.353,627.672,681.026,811.932,762.499,1117.291,480.903,1206.858,687.477,1076.097,760.458
22.204,794.827,488.416,626.211,680.584,810.962,764.183,1118.967,481.617,1207.244,688.63,1076.186,760.501
22.237,796.102,488.482,624.984,680.689,809.426,766.645,1120.526,482.599,1207.35,689.925,1076.398,760.523
22.27,797.281,488.439,624.101,681.301,807.518,769.927,1121.942,483.771,1207.238,691.347,1076.551,760.566
22.304,798.248,488.196,623.758,682.573,805.282,774.286,1123.135,485.069,1206.972,692.912,1076.664,760.646
22.337,799.031,487.913,623.652,684.678,803.204,780.072,1124.203,486.379,1206.649,694.425,1076.864,760.745
22.37,799.674,487.895,623.392,687.903,802.052,787.002,1125.107,487.491,1206.186,695.701,1076.922,760.75
22.404,800.039,488.131,623.466,692.329,802.149,794.64,1125.775,488.29,1205.638,696.619,1076.874,760.838
22.437,800.238,488.573,624.123,697.546,802.617,803.242,1126.296,488.678,1205.126,697.139,1076.847,760.766
22.47,800.37,489.165,625.374,703.152,803.072,813.38,1126.661,488.909,1204.827,697.491,1076.935,760.777
22.504,800.451,490.027,627.429,709.184,804.132,823.5,1126.95,488.962,1204.625,697.733,1076.976,760.756
22.537,800.426,491.09,630.039,715.361,805.724,833.478,1127.122,489.012,1204.515,697.964,1077.004,760.815
22.57,800.316,492.165,633.477,721.567,807.622,844.276,1127.249,488.997,1204.396,698.074,1076.967,760.841
22.604,800.092,493.181,637.69,727.666,808.521,856.424,1127.267,489.042,1204.356,698.12,1077.017,760.882
22.637,799.761,494.202,642.51,733.639,809.182,869.643,1127.131,489.069,1204.247,698.117,1077.061,760.864
22.67,799.388,495.297,648.049,739.424,810.306,882.568,1126.932,489.082,1203.979,698.085,1077.022,760.893
22.704,798.949,496.287,654.421,744.883,811.649,895.252,1126.654,488.997,1203.591,697.93,1077.001,760.926
22.737,798.437,497.212,661.425,749.932,813.463,907.529,1126.269,488.78,1203.222,697.67,1076.985,760.943
22.77,797.878,498.085,668.726,754.352,815.598,919.693,1125.758,488.473,1202.938,697.342,1076.857,760.916
22.804,797.239,498.857,676.295,758.143,817.665,931.375,1125.111,488.079,1202.74,696.925,1076.791,760.89
22.837,796.624,499.535,683.731,761.107,820.306,941.36,1124.44,487.627,1202.567,696.461,1076.76,760.861
22.87,795.972,500.062,690.889,763.366,823.027,949.758,1123.692,487.065,1202.458,695.947,1076.95,760.722
22.904,795.336,500.402,696.833,764.584,825.672,956.292,1122.881,486.476,1202.378,695.423,1076.736,760.923
22.937,794.606,500.444,701.343,764.851,827.741,960.767,1121.962,485.793,1202.378,694.856,1076.707,760.958
22.97,794.066,500.337,703.835,764.483,828.223,962.142,1121.101,484.94,1202.45,694.18,1076.659,760.972
23.004,793.624,500.027,704.268,763.505,827.088,961.061,1120.342,483.984,1202.558,693.464,1076.495,760.888
23.037,793.155,499.673,702.313,762.154,823.159,958.527,1119.421,482.888,1202.556,692.54,1076.248,760.865
23.07,792.729,499.198,698.354,760.346,816.172,954.395,1118.544,481.84,1202.398,691.643,1076.283,760.553
23.104,792.309,498.549,692.491,757.994,805.965,948.423,1117.657,481.097,1202.131,691.026,1076.134,760.607
23.137,791.945,497.628,684.845,754.623,793.57,940.636,1117.041,480.594,1201.833,690.682,1076.009,760.578
23.17,791.887,496.498,676.34,750.238,779.082,931.874,1116.588,480.3,1201.592,690.529,1075.846,760.645
23.204,791.797,495.206,667.389,744.951,763.46,922.312,1116.184,480.184,1201.576,690.437,1075.798,760.633
23.237,791.909,493.885,658.438,738.758,747.647,911.653,1115.802,480.093,1201.703,690.347,1075.684,760.552
23.27,792.105,492.488,650.116,731.922,732.267,900.481,1115.499,480.023,1201.905,690.286,1075.622,760.448
23.304,792.318,491.225,642.287,724.472,717.765,889.603,1115.131,479.99,1202.123,690.265,1075.623,760.452
23.337,792.571,490.026,635.693,716.923,704.479,878.935,1114.788,479.924,1202.319,690.219,1075.656,760.484
23.37,792.935,488.946,630.28,709.395,692.43,868.528,1114.438,479.815,1202.529,690.146,1075.602,760.529
23.404,793.316,487.782,625.949,701.975,681.448,858.781,1114.062,479.725,1202.747,690.127,1075.527,760.506
23.437,793.729,486.495,622.724,694.766,671.478,849.645,1113.655,479.751,1202.873,690.195,1075.485,760.44
23.47,794.231,485.138,620.373,687.882,663.185,841.454,1113.337,479.865,1202.808,690.422,1075.43,760.394
23.504,794.857,483.686,618.485,681.198,656.203,834.272,1113.105,480.046,1202.398,690.804,1075.39,760.392
23.537,795.588,482.151,617.244,675.091,650.828,827.705,1112.966,480.287,1201.742,691.323,1075.388,760.418
23.57,796.485,480.693,616.515,669.613,646.907,821.585,1113.004,480.543,1200.975,692.002,1075.366,760.376
23.604,797.595,479.374,616.253,664.977,644.454,816.351,1113.254,480.729,1200.186,692.74,1075.223,760.452
23.637,798.865,478.192,616.641,661.366,643.287,812.572,1113.639,480.856,1199.284,693.484,1075.332,760.456
23.67,800.385,477.071,617.489,658.691,643.443,810.811,1114.289,480.879,1198.2,694.269,1075.354,760.441
23.704,801.908,476.024,619.137,657.583,644.828,810.993,1115.2,481.021,1197.218,695.179,1075.478,760.453
23.737,803.42,475.128,621.441,657.809,647.818,812.231,1116.307,481.337,1196.279,696.275,1075.558,760.511
23.77,805.027,474.509,624.285,659.128,652.978,814.12,1117.434,481.687,1195.448,697.447,1075.58,760.575
23.804,806.472,474.155,627.507,661.662,661.205,817.074,1118.599,482.146,1194.84,698.591,1075.632,760.602
23.837,807.821,474.11,630.862,665.078,672.42,820.779,1119.78,482.475,1194.376,699.537,1075.721,760.61
23.87,808.985,474.346,634.438,669.357,686.336,824.698,1120.914,482.845,1194.083,700.426,1075.821,760.557
23.904,809.975,474.769,638.373,674.365,702.351,828.931,1121.859,483.24,1193.904,701.276,1075.751,760.527
23.937,810.814,475.337,642.708,679.93,719.901,833.635,1122.696,483.63,1193.829,702.116,1075.804,760.612
23.97,811.45,476.079,647.463,685.934,738.739,838.103,1123.467,483.981,1193.871,702.821,1076.002,760.724
24.004,811.974,476.951,652.616,692.126,758.898,841.587,1124.198,484.219,1193.96,703.373,1076.092,760.785
24.037,812.279,477.85,658.474,698.519,781.417,845.053,1124.751,484.496,1194.123,703.804,1076.092,760.802
24.07,812.365,478.627,665.198,704.945,805.002,848.134,1125.223,484.731,1194.264,704.089,1076.147,760.807
24.104,812.359,479.549,672.644,711.335,829.745,850.353,1125.538,484.935,1194.423,704.274,1076.2,760.782
24.137,812.183,480.536,681.155,717.785,855.212,852.062,1125.696,485.054,1194.486,704.358,1076.27,760.875
24.17,811.927,481.619,690.174,723.994,879.812,853.392,1125.887,485.194,1194.495,704.422,1076.392,760.897
24.204,811.514,482.965,700.307,730.391,904.786,854.068,1125.93,485.432,1194.443,704.448,1076.499,761.001
24.237,810.976,484.335,710.954,736.569,928.805,853.752,1125.963,485.705,1194.401,704.396,1076.517,760.959
24.27,810.386,485.997,721.766,742.497,952.387,852.323,1126.023,486.046,1194.383,704.29,1076.557,760.922
24.304,809.679,487.847,732.553,748.287,974.681,850.578,1126.09,486.32,1194.448,704.029,1076.703,760.932
24.337,808.732,489.733,742.619,753.506,994.908,848.047,1126.08,486.755,1194.737,703.846,1076.902,760.875
24.37,807.794,491.877,751.316,758.757,1012.106,845.327,1126.04,487.39,1195.23,703.791,1076.904,760.923
24.404,806.864,494.071,758.213,763.715,1025.787,842.917,1126.079,488.033,1195.811,703.618,1077.09,760.867
24.437,805.884,496.381,763.083,768.402,1035.894,841.596,1126.342,488.612,1196.398,703.222,1077.201,760.889
24.47,804.802,498.848,764.739,773.024,1041.242,842.162,1126.693,489.304,1197.139,702.782,1077.336,760.852
24.504,803.621,501.338,763.326,777.497,1042.34,844.545,1127.09,490.075,1198.02,702.328,1077.352,760.861
24.537,802.43,503.735,759.151,781.626,1039.795,848.611,1127.659,491.108,1199.019,702.036,1077.516,761.014
24.57,801.159,506.057,752.342,785.491,1033.599,854.349,1128.241,492.341,1200.277,701.845,1077.791,761.049
24.604,799.923,508.273,743.396,788.909,1023.83,861.977,1128.837,493.813,1201.749,701.751,1077.927,761.174
24.637,798.702,510.304,732.856,791.477,1010.483,872.081,1129.296,495.366,1203.091,701.658,1078.049,761.255
24.67,797.417,512.07,721.457,793.137,993.832,883.929,1129.661,496.847,1204.374,701.384,1078.221,761.269
24.704,796.221,513.799,709.294,794.163,973.505,896.953,1129.998,498.217,1205.309,701.137,1078.364,761.296
24.737,795.111,515.282,696.997,794.175,949.943,910.588,1130.123,499.377,1206.124,700.935,1078.465,761.408
24.77,794.059,516.456,685.638,793.456,924.004,924.715,1130.122,500.416,1206.697,700.768,1078.517,761.447
24.804,792.946,517.294,675.576,792.138,896.422,939.175,1129.848,501.294,1206.986,700.417,1078.578,761.453
24.837,791.754,517.676,667.505,790.414,868.882,953.379,1129.352,501.862,1206.984,699.974,1078.462,761.449
24.87,790.462,517.857,661.751,788.834,843.368,966.611,1128.596,502.2,1206.962,699.411,1078.43,761.404
24.904,789.224,517.817,658.761,787.533,822.108,978.635,1127.652,502.039,1206.841,698.779,1078.272,761.332
24.937,787.888,517.583,657.968,786.612,805.113,987.74,1126.328,501.39,1206.681,697.975,1078.141,761.304
