timecode,RightShoulder_2D,RightShoulder_2D.1,RightElbow_2D,RightElbow_2D.1,RightHand_2D,RightHand_2D.1,LeftShoulder_2D,LeftShoulder_2D.1,LeftElbow_2D,LeftElbow_2D.1,LeftHand_2D,LeftHand_2D.1
21.097,824.629,526.852,719.708,648.203,740.724,741.179,1082.394,516.738,1123.439,724.755,1032.576,780.491
21.131,826.469,525.723,722.015,649.838,740.958,741.594,1083.244,516.386,1123.399,723.965,1032.056,780.994
21.164,828.06,525.361,723.421,651.407,741.248,741.759,1083.868,516.462,1123.919,723.304,1032.233,781.186
21.197,829.735,525.006,724.134,652.528,741.274,741.87,1084.437,516.877,1124.228,722.901,1032.307,781.244
21.231,831.114,524.706,724.459,653.114,741.177,741.392,1085.088,517.164,1123.901,722.484,1032.279,781.326
21.264,832.283,524.315,724.765,653.213,740.881,740.03,1085.713,517.542,1123.143,722.229,1032.329,781.399
21.297,833.116,523.905,725.086,653.003,740.247,737.314,1086.158,517.756,1122.499,721.825,1032.216,781.442
21.331,833.799,523.41,725.386,652.559,739.313,733.941,1086.389,517.973,1121.898,721.481,1032.09,781.416
21.364,834.307,523.098,725.32,652.145,738.42,730.459,1086.585,518.12,1121.611,721.129,1032.158,781.308
21.397,834.659,522.794,725.661,652.152,738.324,727.242,1086.593,518.283,1121.309,720.857,1032.203,781.388
21.431,834.913,522.776,726.158,652.99,740.217,724.161,1086.509,518.331,1121.069,720.515,1032.285,781.297
21.464,835.088,522.722,726.66,654.678,743.933,721.238,1086.546,518.362,1120.802,720.411,1032.352,781.215
21.497,835.264,522.846,727.056,657.338,748.508,719.064,1086.567,518.381,1120.648,720.372,1032.457,781.019
21.531,835.494,523.138,727.199,660.76,753.435,717.534,1086.577,518.339,1120.611,720.253,1032.541,780.89
21.564,835.589,523.301,727.242,664.761,758.809,716.512,1086.634,518.195,1120.817,719.994,1032.679,780.711
21.597,835.612,523.487,727.25,669.014,763.902,715.714,1086.692,517.952,1121.229,719.58,1032.909,780.562
21.631,835.495,523.862,727.141,673.666,769.494,715.505,1086.746,517.752,1121.685,719.2,1033.056,780.301
21.664,835.297,524.36,726.658,678.246,774.586,715.744,1086.798,517.582,1121.986,718.893,1033.152,779.77
21.697,835.012,524.593,726.221,682.482,779.116,716.929,1086.896,517.468,1122.384,718.672,1033.264,779.105
21.731,834.431,524.724,725.975,686.51,784.009,718.42,1086.756,517.333,1122.869,718.33,1033.431,778.552
21.764,833.668,525.038,726.063,690.512,789.026,719.806,1086.478,517.198,1123.212,718.034,1033.739,778.065
21.797,832.862,525.413,726.506,694.178,793.998,721.131,1086.1,517.185,1123.449,717.859,1034.596,777.451
21.831,832.068,525.904,727.212,697.489,798.98,722.26,1085.726,517.205,1123.788,717.739,1036.181,776.471
21.864,831.465,526.405,728.12,700.244,803.369,723.499,1085.388,517.309,1124.995,717.6,1040.401,774.963
21.897,830.88,526.7,729.181,702.36,807.074,725.217,1084.94,516.927,1126.59,716.848,1045.041,772.916
21.931,830.452,527.119,730.023,704.016,810.157,727.325,1084.524,516.33,1128.247,715.791,1049.881,770.378
21.964,830.142,527.621,730.519,705.263,812.149,729.857,1084.255,515.93,1129.487,715.0,1053.138,768.957
21.997,829.923,528.021,730.997,706.153,813.59,732.686,1084.068,515.665,1130.662,714.443,1055.748,769.032
22.031,829.803,528.296,731.395,706.661,814.36,735.375,1084.116,515.725,1131.485,714.455,1057.122,770.262
22.064,829.825,528.423,731.71,706.808,814.761,737.59,1084.373,516.059,1131.815,715.052,1057.783,771.509
22.097,829.986,528.363,731.994,706.592,814.638,739.272,1084.769,516.694,1131.878,716.279,1061.511,773.232
22.131,830.277,528.21,732.121,706.051,814.005,740.231,1085.211,517.568,1131.745,717.755,1070.046,774.46
22.164,830.66,528.069,732.427,705.363,812.705,740.869,1085.589,518.489,1131.888,718.96,1082.669,775.792
22.197,831.052,528.136,732.66,704.736,811.086,741.837,1085.721,518.688,1132.42,718.992,1095.721,776.808
22.231,831.325,528.414,732.819,704.341,809.487,743.808,1085.692,518.311,1133.857,718.087,1108.905,776.632
22.264,831.415,528.84,732.972,704.288,808.37,746.503,1085.586,517.972,1136.396,716.969,1120.885,776.467
22.297,831.385,529.435,733.156,704.6,808.124,749.351,1085.436,517.545,1139.692,715.59,1131.034,775.472
22.331,831.223,529.973,733.695,705.147,808.983,751.623,1085.124,517.03,1142.551,714.167,1138.108,773.857
22.364,831.066,530.516,734.405,705.925,810.712,752.538,1084.945,516.771,1144.532,713.302,1142.283,772.997
22.397,830.894,530.835,735.406,706.755,812.186,753.0,1084.766,516.661,1145.503,712.885,1142.796,773.058
22.431,830.869,530.999,736.301,707.382,812.912,753.267,1084.749,516.857,1145.44,713.147,1139.548,773.268
22.464,830.944,531.005,737.136,707.757,813.252,753.565,1084.895,517.376,1144.318,714.115,1133.543,773.339
22.497,831.099,531.003,737.65,707.906,813.501,753.841,1085.149,518.131,1142.319,715.62,1126.601,773.487
22.531,831.326,530.975,737.971,707.861,813.78,754.065,1085.468,518.863,1139.958,717.206,1118.61,773.173
22.564,831.525,530.883,738.222,707.713,813.927,754.225,1085.782,519.54,1137.876,718.728,1109.217,772.145
22.597,831.657,530.803,738.475,707.658,814.134,754.31,1086.007,520.027,1136.447,719.966,1098.894,771.236
22.631,831.815,530.821,738.802,707.718,814.372,754.481,1086.327,520.438,1135.283,721.094,1087.677,771.353
22.664,831.996,530.749,739.267,707.739,814.618,754.69,1086.839,521.114,1133.723,722.651,1076.674,771.613
22.697,832.137,530.575,739.724,707.697,814.81,754.79,1087.258,521.787,1131.399,724.296,1066.112,773.03
22.731,832.386,530.442,740.145,707.607,814.886,754.833,1087.751,522.557,1128.865,726.021,1057.435,775.258
22.764,832.639,530.273,740.484,707.417,814.834,754.908,1088.224,523.334,1126.414,727.673,1049.798,777.575
22.797,832.829,530.161,740.811,707.28,814.79,754.993,1088.61,523.978,1124.29,728.986,1042.941,780.041
22.831,832.925,530.168,741.123,707.298,814.879,755.167,1088.899,524.568,1122.852,730.001,1037.432,782.371
22.864,832.982,530.255,741.362,707.427,815.252,755.496,1089.079,524.673,1122.4,730.298,1034.702,782.386
22.897,832.942,530.512,741.457,707.721,815.684,755.749,1089.122,524.356,1122.714,729.962,1034.747,782.856
22.931,832.928,530.8,741.473,708.018,816.106,755.988,1089.144,524.131,1123.696,729.577,1034.813,782.98
22.964,832.863,530.977,741.446,708.224,816.44,756.06,1089.14,524.036,1124.735,729.351,1034.533,783.022
22.997,832.919,530.993,741.355,708.172,816.509,756.037,1089.32,524.068,1125.397,729.409,1034.528,782.996
23.031,833.157,530.84,741.243,707.848,816.29,755.893,1089.629,524.256,1125.659,729.75,1034.389,783.028
23.064,833.528,530.491,741.077,707.294,815.888,755.469,1090.063,524.516,1125.644,730.221,1034.445,783.027
23.097,833.942,529.999,740.861,706.632,815.37,754.64,1090.534,524.712,1125.631,730.584,1034.435,782.905
23.131,834.411,529.37,740.61,705.953,814.821,753.436,1091.028,524.916,1125.753,730.933,1034.4,782.663
23.164,834.933,528.678,740.564,705.496,814.584,751.594,1091.576,525.196,1126.036,731.353,1034.316,782.372
23.197,835.551,527.976,740.874,705.446,815.035,749.311,1092.182,525.505,1126.371,731.796,1034.385,781.691
23.231,836.201,527.319,741.658,705.975,817.326,746.371,1092.787,525.82,1126.681,732.223,1034.747,781.208
23.264,836.776,526.38,743.485,706.901,821.016,742.796,1093.349,526.05,1126.901,732.535,1035.125,780.564
23.297,837.36,526.158,744.627,708.639,825.335,739.182,1093.971,526.303,1127.13,732.854,1035.267,780.212
23.331,837.784,525.549,746.93,710.344,830.592,736.733,1094.51,526.509,1127.433,733.098,1035.475,779.962
23.364,838.233,525.537,748.862,712.468,836.942,735.394,1095.114,526.692,1127.789,733.342,1035.633,780.148
23.397,838.716,525.396,751.142,714.242,843.947,736.095,1095.796,526.844,1128.296,733.562,1035.888,780.36
23.431,839.035,525.272,753.399,715.842,850.932,738.306,1096.471,526.92,1128.734,733.678,1036.181,780.478
23.464,839.387,525.24,755.585,717.26,857.735,742.008,1097.09,527.047,1129.086,733.828,1036.45,780.583
23.497,839.597,525.168,757.701,718.467,863.658,747.0,1097.582,527.322,1129.324,734.158,1036.72,780.587
23.531,839.931,525.21,759.895,719.652,868.803,753.284,1098.19,527.639,1129.521,734.596,1036.998,780.602
23.564,840.267,525.297,761.785,720.665,872.849,760.572,1098.793,527.983,1129.782,735.091,1037.296,780.641
23.597,840.71,525.374,763.415,721.494,876.541,768.119,1099.495,528.441,1130.029,735.758,1037.36,780.678
23.631,841.084,525.362,764.711,722.051,880.409,775.372,1100.084,528.809,1130.363,736.359,1037.45,780.754
23.664,841.488,525.329,765.269,722.256,884.574,774.649,1100.616,529.148,1130.703,736.934,1037.702,780.888
23.697,841.982,524.711,765.652,721.653,885.466,774.414,1101.065,529.452,1131.1,737.49,1037.82,780.896
23.731,842.428,524.085,764.93,720.774,885.989,774.574,1101.755,529.735,1131.515,738.057,1037.597,780.959
23.764,842.827,523.695,763.761,720.09,885.917,774.773,1102.399,529.881,1131.946,738.392,1037.609,780.985
23.797,843.225,523.352,762.561,719.432,886.037,774.89,1103.056,530.044,1132.322,738.734,1037.771,781.076
23.831,843.532,523.122,761.611,719.041,886.184,774.932,1103.642,530.221,1132.524,739.071,1037.947,781.143
23.864,843.832,522.942,761.132,718.834,886.282,774.924,1104.163,530.459,1132.546,739.467,1037.957,781.166
23.897,844.067,522.943,760.88,718.914,886.322,774.87,1104.656,530.71,1132.614,739.887,1037.949,781.149
23.931,844.21,523.054,760.737,719.165,886.387,774.835,1105.126,530.948,1132.816,740.281,1038.118,781.155
23.964,844.396,523.188,760.563,719.399,886.303,774.741,1105.609,531.159,1133.076,740.625,1038.309,781.247
23.997,844.534,523.322,760.284,719.597,886.138,774.75,1106.001,531.333,1133.278,740.911,1038.339,781.266
24.031,844.743,523.448,759.712,719.633,885.665,774.046,1106.493,531.441,1133.375,741.149,1038.384,781.261
24.064,844.919,523.54,758.918,719.618,885.219,773.499,1106.974,531.517,1133.527,741.326,1038.51,781.265
24.097,845.066,523.6,758.075,719.563,884.866,773.154,1107.284,531.591,1133.665,741.455,1038.675,781.226
24.131,845.209,523.462,757.245,719.331,884.037,772.221,1107.701,531.722,1133.792,741.672,1038.653,781.221
24.164,845.302,523.43,756.52,719.283,882.875,771.492,1108.11,531.712,1133.928,741.777,1038.656,781.361
24.197,845.35,523.42,756.011,719.402,881.337,770.683,1108.41,532.092,1134.076,742.281,1038.918,781.252
24.231,845.439,523.488,755.429,719.624,879.646,770.443,1108.851,532.047,1134.293,742.335,1038.811,781.375
24.264,845.452,523.795,754.932,720.183,877.873,771.353,1109.229,532.177,1134.358,742.568,1038.772,781.369
24.297,845.327,524.112,754.408,720.82,876.174,773.145,1109.487,532.234,1134.433,742.69,1038.922,781.395
24.331,845.107,524.892,753.244,721.653,874.756,775.457,1109.758,532.233,1134.48,742.751,1039.173,781.452
24.364,844.896,524.896,753.36,722.215,874.044,779.653,1109.884,532.231,1134.397,742.789,1039.219,781.517
24.397,844.383,525.465,752.921,722.99,873.076,785.1,1109.688,532.262,1134.254,742.853,1038.82,781.744
24.431,843.832,526.472,752.693,724.23,872.371,791.642,1109.582,532.24,1134.344,742.832,1038.933,781.723
24.464,843.11,527.653,753.426,725.996,872.061,799.005,1109.29,532.222,1134.485,742.776,1039.093,781.699
24.497,842.373,529.314,754.346,727.98,871.892,807.358,1109.065,532.065,1134.605,742.588,1039.165,781.613
24.531,841.327,531.369,755.879,730.428,871.615,817.431,1108.588,531.759,1134.694,742.215,1039.009,781.663
24.564,840.159,533.881,757.415,733.146,871.211,827.977,1108.069,531.36,1134.786,741.726,1039.121,781.674
24.597,839.048,536.714,759.257,735.865,871.406,838.744,1107.437,530.905,1134.759,741.173,1039.053,781.675
24.631,837.942,539.805,761.368,738.673,870.793,849.925,1106.718,530.521,1134.632,740.717,1038.974,781.712
