timecode,RightShoulder,RightShoulder.1,RightShoulder.2,RightElbow,RightElbow.1,RightElbow.2,RightHand,RightHand.1,RightHand.2,LeftShoulder,LeftShoulder.1,LeftShoulder.2,LeftElbow,LeftElbow.1,LeftElbow.2,LeftHand,LeftHand.1,LeftHand.2
17.26,-0.128,0.007,1.144,-0.237,-0.223,1.112,-0.085,-0.235,0.984,0.2,-0.009,1.102,0.299,-0.198,0.96,0.295,-0.305,0.793
17.293,-0.13,0.004,1.135,-0.237,-0.225,1.089,-0.086,-0.237,0.959,0.199,-0.008,1.1,0.3,-0.198,0.961,0.295,-0.305,0.793
17.327,-0.133,-0.001,1.126,-0.236,-0.226,1.063,-0.088,-0.24,0.93,0.197,-0.007,1.097,0.301,-0.199,0.962,0.295,-0.305,0.793
17.36,-0.136,-0.006,1.116,-0.235,-0.228,1.035,-0.09,-0.247,0.9,0.195,-0.007,1.093,0.302,-0.199,0.962,0.296,-0.305,0.793
17.393,-0.139,-0.011,1.105,-0.233,-0.229,1.009,-0.092,-0.255,0.87,0.192,-0.006,1.089,0.303,-0.199,0.962,0.296,-0.305,0.793
17.427,-0.143,-0.017,1.094,-0.23,-0.23,0.982,-0.094,-0.263,0.84,0.189,-0.006,1.084,0.304,-0.2,0.962,0.296,-0.305,0.793
17.46,-0.147,-0.023,1.083,-0.226,-0.232,0.957,-0.096,-0.272,0.812,0.185,-0.006,1.08,0.304,-0.2,0.963,0.296,-0.305,0.794
17.493,-0.151,-0.03,1.071,-0.222,-0.233,0.932,-0.098,-0.282,0.785,0.18,-0.005,1.075,0.304,-0.201,0.963,0.296,-0.305,0.794
17.527,-0.155,-0.036,1.06,-0.218,-0.233,0.909,-0.099,-0.291,0.76,0.176,-0.005,1.07,0.303,-0.201,0.964,0.296,-0.305,0.794
17.56,-0.159,-0.042,1.049,-0.213,-0.234,0.888,-0.1,-0.299,0.737,0.171,-0.004,1.065,0.302,-0.2,0.963,0.296,-0.305,0.794
17.593,-0.163,-0.049,1.039,-0.208,-0.235,0.868,-0.1,-0.307,0.717,0.167,-0.004,1.06,0.301,-0.199,0.962,0.296,-0.305,0.794
17.627,-0.166,-0.056,1.029,-0.203,-0.237,0.851,-0.1,-0.312,0.699,0.162,-0.004,1.056,0.3,-0.198,0.962,0.296,-0.305,0.794
