timecode,RightShoulder,RightShoulder.1,RightShoulder.2,RightElbow,RightElbow.1,RightElbow.2,RightHand,RightHand.1,RightHand.2,LeftShoulder,LeftShoulder.1,LeftShoulder.2,LeftElbow,LeftElbow.1,LeftElbow.2,LeftHand,LeftHand.1,LeftHand.2
20.612,-0.191,0.012,1.25,-0.433,-0.145,1.302,-0.572,-0.237,1.106,0.139,-0.015,1.164,0.348,-0.184,1.046,0.334,-0.312,0.822
20.645,-0.186,0.014,1.261,-0.429,-0.143,1.303,-0.567,-0.23,1.102,0.143,-0.014,1.171,0.346,-0.185,1.047,0.334,-0.312,0.823
20.678,-0.18,0.016,1.271,-0.424,-0.143,1.306,-0.557,-0.22,1.099,0.147,-0.012,1.176,0.346,-0.184,1.047,0.333,-0.312,0.823
20.712,-0.175,0.016,1.28,-0.418,-0.144,1.312,-0.544,-0.207,1.096,0.151,-0.011,1.179,0.347,-0.182,1.045,0.334,-0.312,0.822
20.745,-0.169,0.017,1.289,-0.411,-0.146,1.318,-0.527,-0.193,1.092,0.154,-0.01,1.181,0.349,-0.18,1.043,0.334,-0.311,0.822
20.778,-0.164,0.017,1.296,-0.404,-0.15,1.325,-0.505,-0.178,1.09,0.157,-0.009,1.182,0.35,-0.179,1.041,0.335,-0.311,0.821
20.812,-0.159,0.017,1.303,-0.395,-0.153,1.333,-0.479,-0.163,1.089,0.159,-0.009,1.183,0.352,-0.177,1.04,0.335,-0.311,0.82
20.845,-0.154,0.018,1.308,-0.387,-0.158,1.339,-0.451,-0.149,1.09,0.162,-0.009,1.183,0.354,-0.176,1.039,0.336,-0.311,0.819
20.878,-0.15,0.019,1.312,-0.377,-0.164,1.344,-0.421,-0.138,1.091,0.164,-0.01,1.183,0.356,-0.177,1.038,0.337,-0.31,0.818
20.912,-0.147,0.02,1.314,-0.367,-0.171,1.346,-0.39,-0.131,1.092,0.166,-0.011,1.184,0.357,-0.178,1.037,0.337,-0.31,0.817
20.945,-0.144,0.021,1.315,-0.357,-0.178,1.344,-0.359,-0.126,1.092,0.168,-0.012,1.184,0.358,-0.18,1.037,0.337,-0.311,0.816
20.978,-0.142,0.022,1.314,-0.347,-0.186,1.34,-0.329,-0.125,1.09,0.169,-0.013,1.184,0.359,-0.183,1.039,0.336,-0.311,0.817
21.012,-0.141,0.023,1.313,-0.336,-0.195,1.332,-0.301,-0.125,1.086,0.171,-0.013,1.184,0.361,-0.185,1.041,0.336,-0.312,0.818
21.045,-0.14,0.023,1.309,-0.326,-0.203,1.322,-0.274,-0.127,1.081,0.173,-0.014,1.184,0.363,-0.188,1.043,0.336,-0.312,0.819
21.078,-0.14,0.024,1.306,-0.316,-0.211,1.309,-0.247,-0.13,1.074,0.174,-0.015,1.183,0.364,-0.19,1.045,0.337,-0.312,0.819
21.112,-0.14,0.024,1.302,-0.306,-0.217,1.295,-0.222,-0.134,1.066,0.175,-0.015,1.181,0.366,-0.192,1.046,0.337,-0.312,0.82
