timecode,RightShoulder_2D,RightShoulder_2D.1,RightElbow_2D,RightElbow_2D.1,RightHand_2D,RightHand_2D.1,LeftShoulder_2D,LeftShoulder_2D.1,LeftElbow_2D,LeftElbow_2D.1,LeftHand_2D,LeftHand_2D.1
22.87,840.679,507.96,764.211,668.371,763.215,668.306,1089.981,544.159,1266.233,699.726,1273.25,790.088
22.904,842.941,506.952,764.195,670.287,768.741,666.109,1091.628,544.736,1267.835,699.43,1278.148,788.943
22.937,845.301,506.562,763.818,672.291,773.634,664.568,1093.155,546.055,1269.357,700.213,1281.721,789.689
22.97,847.706,506.461,763.524,674.373,778.159,663.62,1094.65,547.156,1270.363,701.636,1283.647,792.248
23.004,849.702,506.122,763.729,675.989,782.489,662.991,1096.025,547.768,1270.489,703.369,1283.238,796.02
23.037,851.283,505.671,764.755,677.151,786.392,662.875,1097.306,548.203,1269.986,705.064,1280.634,799.875
23.07,852.553,505.382,766.045,678.185,789.672,663.287,1098.312,548.831,1269.103,706.83,1276.284,803.262
23.104,853.537,505.45,767.45,679.591,793.163,664.322,1098.953,549.9,1267.95,708.694,1270.428,806.568
23.137,854.443,505.776,767.973,681.357,797.283,665.897,1099.267,551.116,1266.384,710.532,1263.58,810.377
23.17,854.998,505.918,767.515,683.097,801.963,667.595,1099.249,551.985,1264.248,712.035,1256.593,816.039
23.204,854.716,505.937,765.843,684.896,806.812,668.969,1098.862,552.355,1261.514,713.473,1250.32,823.697
23.237,853.412,506.227,763.108,687.1,811.382,669.769,1098.266,552.477,1258.546,714.9,1244.213,833.606
23.27,851.241,507.008,759.491,690.367,815.683,670.566,1097.31,552.642,1256.116,716.984,1238.445,844.882
23.304,848.661,508.13,755.519,694.685,820.014,672.157,1095.834,553.313,1253.667,720.074,1232.463,856.028
23.337,845.999,509.401,751.903,699.846,825.615,674.625,1094.102,554.485,1251.503,723.661,1228.803,866.446
23.37,843.121,510.596,748.726,705.406,832.892,678.057,1092.347,555.984,1249.512,727.693,1227.336,877.269
23.404,839.883,511.415,746.268,710.834,842.004,682.89,1090.438,557.889,1247.796,731.786,1226.694,888.714
23.437,835.944,511.785,744.238,715.885,851.458,689.139,1088.381,560.235,1246.167,736.255,1226.656,900.769
23.47,831.62,511.72,742.3,720.304,860.133,696.912,1086.357,563.0,1244.84,741.651,1226.314,914.09
