timecode,RightShoulder,RightShoulder.1,RightShoulder.2,RightElbow,RightElbow.1,RightElbow.2,RightHand,RightHand.1,RightHand.2,LeftShoulder,LeftShoulder.1,LeftShoulder.2,LeftElbow,LeftElbow.1,LeftElbow.2,LeftHand,LeftHand.1,LeftHand.2
18.48,-0.213,0.119,1.237,-0.384,-0.012,1.453,-0.42,-0.15,1.222,0.155,0.138,1.241,0.389,-0.025,1.348,0.336,-0.124,1.102
18.53,-0.207,0.123,1.244,-0.382,-0.015,1.453,-0.419,-0.15,1.221,0.162,0.133,1.253,0.384,-0.062,1.327,0.315,-0.128,1.074
18.563,-0.203,0.126,1.249,-0.379,-0.017,1.453,-0.419,-0.149,1.22,0.167,0.128,1.259,0.379,-0.087,1.306,0.297,-0.135,1.053
18.597,-0.198,0.128,1.253,-0.375,-0.018,1.453,-0.419,-0.148,1.22,0.174,0.122,1.262,0.372,-0.109,1.279,0.277,-0.145,1.029
18.63,-0.191,0.131,1.257,-0.371,-0.019,1.453,-0.419,-0.147,1.219,0.182,0.116,1.262,0.365,-0.128,1.248,0.255,-0.158,1.003
18.663,-0.184,0.133,1.261,-0.366,-0.019,1.452,-0.419,-0.147,1.219,0.19,0.109,1.259,0.356,-0.143,1.213,0.23,-0.172,0.975
18.697,-0.175,0.136,1.264,-0.361,-0.019,1.45,-0.42,-0.147,1.219,0.2,0.102,1.253,0.346,-0.154,1.177,0.206,-0.187,0.948
18.73,-0.166,0.138,1.267,-0.355,-0.018,1.448,-0.42,-0.147,1.219,0.21,0.095,1.246,0.335,-0.163,1.141,0.183,-0.202,0.92
18.763,-0.156,0.14,1.269,-0.349,-0.017,1.445,-0.419,-0.148,1.219,0.219,0.088,1.237,0.321,-0.169,1.108,0.161,-0.215,0.895
18.797,-0.146,0.142,1.27,-0.342,-0.015,1.442,-0.416,-0.149,1.219,0.228,0.081,1.227,0.306,-0.173,1.078,0.141,-0.228,0.87
18.847,-0.13,0.145,1.27,-0.331,-0.012,1.437,-0.413,-0.15,1.219,0.24,0.069,1.212,0.285,-0.179,1.041,0.117,-0.245,0.839
18.88,-0.121,0.146,1.269,-0.325,-0.01,1.434,-0.41,-0.15,1.218,0.247,0.062,1.203,0.273,-0.182,1.021,0.105,-0.256,0.822
18.913,-0.113,0.147,1.267,-0.319,-0.008,1.43,-0.407,-0.151,1.217,0.252,0.056,1.194,0.263,-0.185,1.007,0.097,-0.268,0.81
18.947,-0.106,0.148,1.265,-0.315,-0.006,1.426,-0.405,-0.151,1.216,0.257,0.051,1.186,0.257,-0.189,0.997,0.092,-0.281,0.803
18.98,-0.1,0.147,1.262,-0.312,-0.003,1.422,-0.403,-0.151,1.215,0.262,0.046,1.18,0.255,-0.193,0.992,0.092,-0.295,0.801
19.013,-0.096,0.146,1.257,-0.308,-0.002,1.419,-0.402,-0.15,1.213,0.265,0.044,1.176,0.258,-0.199,0.993,0.093,-0.303,0.805
19.047,-0.093,0.144,1.251,-0.304,-0.001,1.416,-0.399,-0.149,1.211,0.269,0.042,1.175,0.264,-0.203,0.993,0.095,-0.306,0.808
19.08,-0.091,0.142,1.245,-0.302,-0.001,1.413,-0.395,-0.148,1.206,0.271,0.04,1.174,0.267,-0.205,0.992,0.096,-0.306,0.808
19.113,-0.091,0.138,1.239,-0.3,-0.002,1.411,-0.385,-0.147,1.198,0.273,0.039,1.173,0.269,-0.205,0.991,0.096,-0.306,0.808
19.163,-0.092,0.133,1.232,-0.3,-0.008,1.406,-0.36,-0.146,1.181,0.273,0.038,1.17,0.271,-0.208,0.989,0.096,-0.306,0.808
19.197,-0.095,0.13,1.227,-0.302,-0.015,1.398,-0.336,-0.146,1.164,0.271,0.037,1.168,0.273,-0.21,0.988,0.097,-0.307,0.808
19.23,-0.099,0.127,1.221,-0.306,-0.025,1.386,-0.31,-0.148,1.145,0.268,0.037,1.165,0.275,-0.212,0.989,0.097,-0.307,0.808
19.263,-0.104,0.123,1.214,-0.313,-0.038,1.368,-0.281,-0.154,1.126,0.265,0.037,1.161,0.276,-0.214,0.989,0.098,-0.307,0.808
19.297,-0.111,0.118,1.206,-0.321,-0.055,1.345,-0.25,-0.163,1.107,0.26,0.039,1.157,0.277,-0.215,0.989,0.099,-0.307,0.807
19.33,-0.119,0.112,1.197,-0.329,-0.074,1.316,-0.221,-0.174,1.089,0.256,0.04,1.153,0.278,-0.215,0.988,0.1,-0.307,0.806
