timecode,RightShoulder_2D,RightShoulder_2D.1,RightElbow_2D,RightElbow_2D.1,RightHand_2D,RightHand_2D.1,LeftShoulder_2D,LeftShoulder_2D.1,LeftElbow_2D,LeftElbow_2D.1,LeftHand_2D,LeftHand_2D.1
29.449,788.319,472.67,706.231,600.966,631.582,691.226,1073.515,447.624,1215.711,601.014,1206.857,709.801
29.482,794.026,470.039,711.913,601.899,634.902,691.677,1079.878,451.202,1223.752,612.968,1210.131,718.587
29.516,800.057,466.981,717.521,601.779,637.923,691.787,1086.742,454.538,1232.988,624.435,1216.808,729.012
29.549,806.324,464.318,723.034,600.59,641.235,691.715,1093.973,457.867,1242.395,635.535,1226.392,741.406
29.582,812.648,462.017,728.337,598.601,644.462,692.058,1101.231,461.085,1251.258,645.773,1236.482,756.335
29.632,821.903,458.457,735.751,594.639,648.764,693.728,1112.719,465.216,1263.007,659.143,1249.537,779.527
29.666,827.922,456.394,740.1,591.929,651.139,694.597,1120.693,468.337,1270.343,667.388,1256.397,794.561
29.699,833.703,454.711,743.925,589.596,652.817,694.52,1128.247,471.886,1277.192,675.067,1262.171,810.322
29.732,839.051,453.461,747.301,587.693,653.758,694.066,1135.205,476.022,1283.306,682.259,1266.002,827.253
29.766,843.675,452.644,750.2,586.013,654.953,693.98,1141.346,480.406,1287.44,688.994,1268.269,845.073
29.799,847.676,451.793,752.59,584.259,655.814,693.783,1146.767,484.673,1289.271,695.218,1268.948,862.441
29.832,850.786,450.352,755.264,582.23,656.564,693.041,1151.181,488.403,1288.816,701.002,1267.63,879.201
29.866,852.837,448.793,756.751,579.482,656.822,691.788,1154.744,491.514,1287.277,706.286,1264.765,894.992
29.899,854.002,447.851,757.346,576.625,656.846,690.379,1157.447,494.474,1286.011,711.233,1261.591,910.332
29.949,853.636,447.921,756.72,573.128,655.571,688.576,1159.757,498.593,1284.68,717.961,1257.583,932.725
29.982,851.975,448.685,755.662,571.427,654.132,687.909,1160.016,500.662,1284.337,721.839,1256.066,946.686
30.016,849.368,449.782,754.349,570.411,652.012,687.804,1159.492,502.405,1284.654,725.899,1255.022,959.808
30.049,846.086,451.217,752.965,570.36,648.542,688.341,1158.449,503.771,1285.437,730.311,1255.919,971.824
30.082,842.342,453.28,751.259,571.263,643.336,689.838,1157.146,504.612,1286.858,734.349,1257.129,979.818
30.116,838.132,456.045,748.558,572.864,637.113,692.404,1155.599,505.486,1288.792,736.713,1257.725,985.579
30.149,833.792,458.935,744.495,575.005,630.581,695.646,1153.909,505.894,1290.393,737.657,1259.464,990.415
30.182,829.763,461.755,738.916,577.062,625.006,698.863,1152.245,505.843,1290.639,737.672,1261.37,994.172
30.216,826.191,464.077,732.046,578.677,622.241,701.716,1150.592,505.274,1289.654,737.016,1261.543,997.561
30.249,822.967,465.655,723.827,579.273,623.629,703.818,1148.648,504.08,1288.438,735.645,1260.731,999.603
30.299,818.591,467.042,709.404,579.095,635.066,705.604,1145.451,501.559,1286.913,731.989,1259.571,1000.08
30.332,816.172,467.436,698.832,579.128,648.356,706.766,1143.685,500.261,1286.663,729.993,1259.573,999.793
30.366,814.205,467.933,688.675,580.378,665.004,707.915,1142.312,499.311,1286.311,728.512,1259.959,999.717
30.399,812.495,469.108,679.64,583.373,683.315,709.495,1141.386,498.587,1285.817,727.366,1260.225,999.623
30.432,811.196,470.613,671.671,588.277,701.114,711.47,1140.961,497.842,1285.096,726.272,1260.078,999.429
30.466,810.382,472.215,664.69,595.4,717.789,714.811,1140.857,497.161,1284.334,725.423,1259.806,999.234
30.499,810.065,473.776,658.492,604.565,733.097,719.351,1141.147,496.616,1283.758,724.7,1259.692,999.037
30.532,810.133,475.168,653.806,615.088,747.111,725.921,1141.798,496.327,1283.599,723.97,1259.782,998.953
30.566,810.484,476.484,650.381,626.388,759.809,734.568,1142.775,496.292,1283.497,723.372,1260.229,998.623
30.616,811.013,478.869,647.097,642.821,776.754,747.801,1144.617,496.31,1282.518,722.337,1260.89,998.022
30.649,811.436,480.485,646.091,652.458,786.518,756.974,1145.844,496.163,1280.99,721.354,1260.966,997.325
30.682,811.939,481.257,645.914,660.102,795.271,764.757,1146.824,496.069,1278.946,720.21,1260.529,996.535
30.716,812.467,480.962,646.917,666.129,803.152,767.787,1147.495,495.942,1276.524,718.95,1260.227,995.77
30.749,813.08,480.029,648.696,671.275,811.581,769.362,1148.062,496.161,1274.531,718.139,1259.899,995.074
30.782,813.882,478.845,651.238,676.0,820.465,772.492,1148.758,496.795,1273.247,718.14,1259.708,994.774
30.816,814.822,478.205,654.27,680.78,828.979,776.696,1149.664,497.577,1272.555,718.566,1259.864,994.69
30.849,815.634,478.004,657.742,685.961,837.709,780.45,1150.614,498.192,1272.257,718.886,1259.907,994.568
30.882,816.356,477.847,662.156,691.64,847.426,785.037,1151.606,498.464,1272.713,719.105,1259.684,994.489
30.932,816.965,478.3,670.289,701.481,863.78,793.008,1152.98,498.705,1274.235,719.204,1260.214,994.517
30.966,817.138,479.041,677.228,708.809,876.782,798.525,1153.804,498.599,1275.153,719.23,1260.708,994.506
30.999,816.939,479.957,685.215,716.264,891.015,805.376,1154.422,498.29,1275.834,718.966,1261.028,994.529
31.032,816.21,481.531,693.912,724.063,906.17,812.144,1154.633,497.894,1276.052,718.685,1261.48,994.589
31.066,815.025,483.951,703.251,732.305,921.434,818.523,1154.57,497.291,1275.515,718.696,1261.733,994.588
31.099,813.485,486.85,712.566,740.277,936.422,826.348,1154.121,496.777,1274.679,718.585,1261.507,994.534
31.132,811.719,489.339,722.003,746.971,950.696,835.459,1153.357,496.254,1274.054,718.346,1261.581,994.415
31.166,809.738,491.794,730.608,752.7,963.042,843.935,1152.405,495.597,1273.737,718.048,1261.95,994.453
31.199,807.562,494.327,737.345,757.402,972.931,850.745,1151.064,494.87,1273.287,717.237,1262.435,994.413
31.232,805.344,496.723,740.827,760.879,979.005,856.146,1149.508,493.886,1272.503,716.309,1262.398,994.377
31.282,802.189,500.043,737.795,763.904,978.188,861.363,1147.001,492.541,1270.964,715.13,1262.096,994.426
31.316,800.279,501.228,730.796,763.972,970.515,863.888,1145.16,491.712,1269.773,714.415,1261.718,994.389
31.349,798.493,501.684,720.513,762.904,958.205,864.529,1143.32,491.054,1268.698,713.897,1261.147,994.255
31.382,796.897,501.668,707.216,760.735,940.843,863.159,1141.587,490.57,1268.008,713.697,1260.796,994.394
31.416,795.355,501.404,692.334,757.722,919.399,860.456,1139.866,490.468,1267.813,713.657,1260.885,994.675
31.449,793.887,501.162,676.16,753.6,894.228,856.601,1138.205,490.638,1268.185,714.011,1260.59,994.881
31.482,792.307,501.135,659.719,748.302,866.933,851.741,1136.549,491.138,1268.982,714.835,1260.225,995.109
31.516,790.65,501.324,643.866,741.467,840.014,845.386,1134.906,491.943,1270.064,716.203,1259.974,995.309
31.549,789.034,501.413,630.131,733.026,816.142,838.091,1133.177,493.048,1271.772,718.521,1259.639,995.47
31.599,786.821,500.827,615.068,719.32,788.123,826.982,1130.828,495.49,1274.619,724.922,1259.752,996.156
31.632,785.445,500.349,608.331,711.497,774.998,820.819,1129.32,497.102,1275.542,728.761,1259.763,996.871
31.666,784.009,500.137,603.337,706.014,765.093,816.957,1127.941,498.205,1276.317,731.442,1259.573,997.663
31.699,782.492,500.51,599.285,703.751,758.154,816.549,1126.723,498.675,1277.498,732.889,1259.339,998.306
31.732,781.004,501.54,595.79,704.719,753.792,819.655,1125.846,498.788,1279.038,733.485,1259.552,998.804
31.766,779.418,503.021,592.736,708.482,751.446,825.82,1125.227,498.731,1280.386,733.568,1259.962,999.103
31.799,777.793,504.789,590.603,714.629,750.51,834.888,1124.753,498.637,1281.186,733.501,1260.304,999.077
31.832,776.231,506.932,589.48,722.55,750.317,846.708,1124.524,498.531,1281.219,733.816,1260.339,999.088
31.866,774.531,509.371,589.736,732.119,751.502,860.897,1124.319,498.436,1280.597,734.253,1260.323,999.101
31.899,772.858,512.187,591.031,742.631,753.894,876.916,1124.106,498.257,1279.371,734.678,1259.927,999.096
31.949,770.871,516.958,595.126,759.032,757.961,903.987,1123.988,497.995,1277.948,735.095,1259.488,998.782
31.982,769.747,520.217,599.091,769.643,760.669,923.79,1123.79,497.951,1277.665,735.125,1259.728,998.673
32.016,768.748,522.947,604.847,779.48,763.418,944.497,1123.606,498.081,1278.123,735.118,1260.201,998.699
32.049,768.021,525.633,611.944,788.47,765.372,965.31,1123.528,498.287,1278.733,735.233,1260.354,998.746
32.082,767.49,527.833,619.455,795.71,766.013,985.919,1123.495,498.52,1279.202,735.281,1260.359,998.796
32.116,767.406,529.467,626.929,801.026,765.762,1004.771,1123.724,498.595,1279.463,735.428,1260.378,998.821
32.149,767.487,530.428,632.317,804.092,764.191,1019.326,1124.088,498.6,1279.8,735.72,1260.481,998.623
