timecode,RightShoulder,RightShoulder.1,RightShoulder.2,RightElbow,RightElbow.1,RightElbow.2,RightHand,RightHand.1,RightHand.2,LeftShoulder,LeftShoulder.1,LeftShoulder.2,LeftElbow,LeftElbow.1,LeftElbow.2,LeftHand,LeftHand.1,LeftHand.2
32.91,-0.245,0.01,1.145,-0.427,-0.097,1.348,-0.537,-0.235,1.16,0.086,0.002,1.053,0.336,-0.147,1.02,0.333,-0.309,0.82
32.944,-0.234,0.006,1.159,-0.426,-0.103,1.352,-0.536,-0.235,1.16,0.096,-0.004,1.068,0.344,-0.154,1.025,0.334,-0.31,0.82
32.977,-0.222,0.004,1.174,-0.424,-0.108,1.355,-0.535,-0.234,1.159,0.107,-0.008,1.084,0.352,-0.16,1.029,0.335,-0.31,0.82
33.01,-0.212,0.004,1.188,-0.423,-0.112,1.356,-0.534,-0.233,1.157,0.118,-0.011,1.101,0.358,-0.164,1.033,0.336,-0.31,0.822
33.044,-0.202,0.006,1.202,-0.421,-0.114,1.356,-0.532,-0.229,1.153,0.128,-0.011,1.118,0.363,-0.168,1.037,0.337,-0.31,0.824
33.077,-0.193,0.01,1.216,-0.417,-0.118,1.355,-0.524,-0.22,1.143,0.137,-0.011,1.133,0.364,-0.172,1.041,0.338,-0.31,0.825
33.11,-0.185,0.014,1.231,-0.412,-0.124,1.354,-0.506,-0.206,1.128,0.144,-0.012,1.146,0.364,-0.176,1.044,0.338,-0.31,0.825
33.144,-0.178,0.019,1.244,-0.403,-0.133,1.354,-0.478,-0.189,1.113,0.15,-0.014,1.158,0.364,-0.18,1.046,0.337,-0.311,0.826
33.177,-0.171,0.024,1.255,-0.393,-0.141,1.352,-0.443,-0.171,1.101,0.155,-0.015,1.167,0.363,-0.183,1.048,0.336,-0.312,0.826
33.227,-0.163,0.031,1.268,-0.376,-0.155,1.345,-0.385,-0.148,1.088,0.162,-0.013,1.179,0.361,-0.186,1.05,0.334,-0.313,0.828
33.26,-0.157,0.034,1.274,-0.364,-0.164,1.336,-0.343,-0.14,1.08,0.167,-0.012,1.186,0.36,-0.187,1.052,0.333,-0.313,0.829
33.294,-0.152,0.036,1.277,-0.352,-0.173,1.323,-0.298,-0.139,1.073,0.172,-0.011,1.191,0.361,-0.189,1.053,0.333,-0.313,0.829
33.327,-0.147,0.037,1.28,-0.338,-0.184,1.307,-0.253,-0.144,1.067,0.177,-0.011,1.194,0.363,-0.19,1.055,0.334,-0.314,0.83
33.36,-0.142,0.036,1.281,-0.323,-0.194,1.291,-0.21,-0.154,1.063,0.183,-0.012,1.196,0.365,-0.192,1.055,0.335,-0.314,0.83
33.394,-0.139,0.035,1.28,-0.306,-0.206,1.276,-0.17,-0.166,1.06,0.188,-0.012,1.198,0.367,-0.194,1.056,0.335,-0.314,0.83
33.427,-0.136,0.034,1.278,-0.287,-0.217,1.264,-0.136,-0.18,1.058,0.192,-0.012,1.2,0.369,-0.196,1.057,0.334,-0.315,0.83
33.46,-0.133,0.031,1.277,-0.271,-0.227,1.254,-0.107,-0.194,1.058,0.196,-0.013,1.202,0.371,-0.198,1.057,0.334,-0.315,0.83
33.494,-0.131,0.029,1.274,-0.257,-0.235,1.247,-0.084,-0.208,1.058,0.2,-0.013,1.204,0.372,-0.199,1.057,0.334,-0.315,0.83
33.527,-0.13,0.028,1.271,-0.246,-0.24,1.242,-0.066,-0.221,1.057,0.203,-0.013,1.205,0.374,-0.199,1.057,0.334,-0.315,0.83
33.577,-0.128,0.027,1.268,-0.234,-0.244,1.237,-0.05,-0.236,1.056,0.206,-0.014,1.206,0.377,-0.199,1.057,0.335,-0.315,0.83
33.61,-0.128,0.027,1.265,-0.23,-0.246,1.236,-0.047,-0.243,1.055,0.207,-0.014,1.207,0.378,-0.199,1.057,0.335,-0.315,0.83
33.644,-0.127,0.028,1.264,-0.228,-0.246,1.238,-0.047,-0.247,1.055,0.208,-0.015,1.207,0.378,-0.2,1.057,0.335,-0.315,0.83
33.677,-0.127,0.029,1.262,-0.228,-0.245,1.239,-0.048,-0.249,1.056,0.208,-0.015,1.207,0.378,-0.202,1.058,0.335,-0.315,0.83
33.71,-0.128,0.031,1.261,-0.23,-0.243,1.239,-0.048,-0.25,1.057,0.207,-0.017,1.207,0.377,-0.204,1.059,0.335,-0.315,0.83
33.744,-0.129,0.033,1.259,-0.233,-0.241,1.237,-0.047,-0.25,1.058,0.205,-0.019,1.208,0.376,-0.205,1.06,0.335,-0.315,0.83
33.777,-0.131,0.034,1.257,-0.237,-0.238,1.23,-0.047,-0.249,1.056,0.203,-0.02,1.207,0.375,-0.205,1.06,0.335,-0.315,0.83
33.81,-0.134,0.036,1.255,-0.241,-0.234,1.222,-0.047,-0.248,1.053,0.201,-0.02,1.207,0.375,-0.204,1.06,0.336,-0.316,0.83
33.844,-0.136,0.038,1.252,-0.247,-0.23,1.212,-0.047,-0.246,1.049,0.198,-0.021,1.206,0.374,-0.203,1.059,0.336,-0.316,0.83
33.894,-0.141,0.041,1.243,-0.254,-0.225,1.194,-0.047,-0.241,1.041,0.194,-0.021,1.204,0.373,-0.201,1.058,0.337,-0.316,0.83
33.927,-0.144,0.043,1.235,-0.258,-0.221,1.182,-0.046,-0.239,1.035,0.192,-0.02,1.202,0.372,-0.201,1.058,0.337,-0.315,0.83
33.96,-0.147,0.044,1.226,-0.262,-0.219,1.17,-0.046,-0.239,1.03,0.19,-0.019,1.199,0.372,-0.201,1.059,0.337,-0.315,0.83
33.994,-0.148,0.045,1.216,-0.266,-0.218,1.158,-0.047,-0.243,1.026,0.189,-0.019,1.195,0.372,-0.203,1.059,0.336,-0.314,0.83
34.027,-0.149,0.044,1.207,-0.27,-0.216,1.148,-0.048,-0.25,1.021,0.188,-0.019,1.189,0.374,-0.205,1.06,0.336,-0.314,0.829
34.06,-0.15,0.044,1.198,-0.273,-0.216,1.137,-0.05,-0.254,1.013,0.188,-0.019,1.182,0.376,-0.207,1.06,0.336,-0.314,0.829
34.094,-0.149,0.043,1.191,-0.274,-0.214,1.126,-0.052,-0.257,1.002,0.188,-0.019,1.174,0.38,-0.209,1.059,0.336,-0.314,0.828
34.127,-0.149,0.042,1.184,-0.275,-0.214,1.115,-0.055,-0.261,0.989,0.189,-0.02,1.167,0.384,-0.21,1.059,0.337,-0.314,0.828
34.16,-0.148,0.04,1.177,-0.275,-0.213,1.103,-0.058,-0.266,0.975,0.19,-0.019,1.158,0.388,-0.211,1.059,0.338,-0.314,0.828
34.21,-0.148,0.039,1.164,-0.274,-0.213,1.083,-0.062,-0.272,0.95,0.19,-0.016,1.143,0.391,-0.212,1.059,0.338,-0.315,0.829
34.244,-0.149,0.039,1.155,-0.273,-0.213,1.069,-0.063,-0.277,0.933,0.189,-0.014,1.133,0.393,-0.211,1.058,0.338,-0.315,0.828
34.277,-0.151,0.038,1.145,-0.271,-0.214,1.054,-0.064,-0.283,0.915,0.188,-0.013,1.125,0.394,-0.21,1.057,0.338,-0.315,0.828
34.31,-0.154,0.036,1.136,-0.269,-0.215,1.037,-0.066,-0.288,0.897,0.186,-0.013,1.12,0.393,-0.21,1.056,0.338,-0.315,0.828
34.344,-0.158,0.035,1.128,-0.266,-0.216,1.021,-0.067,-0.294,0.877,0.183,-0.013,1.117,0.392,-0.21,1.057,0.338,-0.315,0.828
34.377,-0.161,0.032,1.121,-0.264,-0.217,1.004,-0.068,-0.3,0.857,0.181,-0.014,1.116,0.391,-0.21,1.058,0.338,-0.315,0.829
34.41,-0.164,0.028,1.115,-0.26,-0.218,0.988,-0.07,-0.305,0.837,0.179,-0.016,1.117,0.39,-0.211,1.059,0.338,-0.315,0.829
34.444,-0.166,0.025,1.109,-0.256,-0.219,0.972,-0.072,-0.311,0.817,0.177,-0.018,1.118,0.388,-0.213,1.06,0.338,-0.315,0.83
