timecode,RightShoulder_2D,RightShoulder_2D.1,RightElbow_2D,RightElbow_2D.1,RightHand_2D,RightHand_2D.1,LeftShoulder_2D,LeftShoulder_2D.1,LeftElbow_2D,LeftElbow_2D.1,LeftHand_2D,LeftHand_2D.1
18.531,723.151,528.132,670.556,604.591,511.713,726.755,1017.302,527.012,1260.843,696.817,1189.88,865.968
18.564,730.974,533.446,672.36,608.841,512.448,726.995,1023.456,534.132,1266.946,703.1,1193.444,864.834
18.598,738.561,537.945,673.786,613.161,513.069,727.139,1029.36,540.841,1271.259,709.328,1195.571,863.242
18.631,745.955,541.959,674.587,617.673,513.645,727.619,1034.892,546.885,1273.408,715.61,1196.577,861.884
18.664,753.429,544.984,674.814,622.115,514.036,727.834,1040.331,551.724,1273.686,721.787,1195.924,860.784
18.714,765.273,545.852,674.138,627.444,514.853,728.122,1048.387,555.804,1271.147,728.554,1191.956,863.376
18.748,773.294,543.477,673.037,629.799,515.172,728.258,1053.082,554.534,1266.324,729.994,1188.231,865.146
18.781,781.02,538.595,671.629,631.027,515.072,727.985,1056.715,550.703,1260.255,728.282,1185.757,862.27
18.814,788.277,532.524,670.018,631.329,515.048,727.038,1059.244,546.099,1254.924,723.666,1184.635,854.043
18.848,794.768,527.607,668.127,631.309,514.968,724.969,1060.905,542.975,1252.201,717.249,1184.705,839.935
18.881,800.761,525.482,666.497,632.047,515.25,719.823,1062.155,542.41,1252.17,710.562,1187.123,822.013
18.914,806.115,526.248,666.948,635.139,520.212,710.726,1063.197,543.089,1253.076,704.219,1191.188,802.734
18.948,810.605,526.432,671.041,640.299,532.919,698.799,1063.658,542.91,1253.393,697.822,1195.672,785.379
18.981,814.278,523.608,678.878,646.561,552.174,685.129,1063.874,540.698,1252.655,691.311,1199.942,772.157
19.014,817.795,520.789,688.169,653.83,573.951,670.979,1064.782,538.479,1252.612,686.128,1203.774,762.844
19.064,823.077,518.451,698.679,664.451,609.077,655.703,1067.002,537.567,1254.241,681.021,1209.104,755.407
19.098,826.847,517.716,703.422,670.886,636.315,651.863,1069.221,538.066,1255.744,679.406,1213.194,756.994
19.131,830.674,517.284,707.87,677.034,665.331,652.164,1072.173,538.73,1256.538,679.503,1217.811,764.405
19.164,834.372,516.86,713.026,683.161,695.415,655.846,1075.725,539.703,1256.547,681.144,1222.081,776.74
19.198,837.974,516.407,719.171,689.33,725.597,661.762,1079.413,541.302,1255.537,684.237,1224.851,792.967
19.231,841.735,516.134,726.125,695.192,755.358,669.313,1083.187,543.408,1253.58,688.129,1226.453,812.867
19.264,845.404,515.793,733.871,700.493,785.009,678.345,1086.907,545.971,1250.289,693.141,1226.822,834.752
19.298,848.408,515.167,741.809,705.055,812.532,686.513,1090.693,548.422,1245.928,699.231,1226.523,856.994
19.331,850.521,514.504,749.318,709.159,836.648,693.617,1094.321,550.74,1241.317,707.136,1225.356,877.947
19.381,852.413,513.625,758.264,714.178,865.763,703.517,1098.642,555.335,1236.717,720.9,1221.392,904.109
19.414,852.698,513.267,762.133,717.053,879.044,709.498,1100.852,559.119,1235.703,730.006,1216.169,918.349
19.448,852.245,513.155,764.439,719.801,888.153,715.629,1102.897,563.092,1235.85,738.731,1209.979,930.987
19.481,851.181,513.426,765.124,722.476,893.507,722.362,1104.822,567.213,1237.022,747.134,1204.542,942.563
19.514,849.92,513.967,764.64,724.914,896.665,729.833,1106.725,571.532,1238.942,755.376,1200.869,954.287
19.548,848.722,514.59,763.021,726.864,898.904,738.158,1108.578,575.903,1241.615,764.176,1198.579,966.186
19.581,847.784,514.85,760.742,727.983,900.784,746.305,1110.407,579.993,1245.581,773.567,1198.488,979.007
19.614,846.507,514.633,757.107,728.205,902.521,753.21,1112.138,583.442,1249.97,782.995,1201.026,993.905
19.648,844.517,513.645,753.309,727.555,904.496,758.556,1113.51,585.16,1253.927,790.7,1206.617,1011.563
19.681,841.696,511.386,748.943,725.412,905.367,762.544,1113.921,584.573,1256.551,795.925,1212.436,1030.304
19.731,834.834,506.921,743.39,722.122,905.675,765.235,1112.112,580.818,1259.157,797.756,1220.102,1053.081
19.764,829.783,504.897,740.614,721.406,905.198,765.45,1109.955,578.228,1260.299,796.418,1220.046,1050.899
19.798,825.138,505.095,738.604,723.112,905.751,765.515,1107.496,576.648,1259.542,793.534,1219.655,1048.547
19.831,821.303,507.895,737.121,727.054,905.775,766.186,1105.096,576.246,1257.749,790.866,1219.873,1047.688
19.864,819.451,512.386,736.216,732.066,904.797,767.116,1103.227,577.876,1256.986,789.879,1220.43,1048.326
19.898,820.018,517.078,736.647,736.762,903.111,767.85,1102.096,581.048,1256.691,791.361,1221.083,1050.303
19.931,822.394,519.624,738.477,739.089,901.485,768.749,1101.71,582.883,1256.261,793.657,1220.803,1052.354
19.964,824.707,519.192,741.634,738.667,900.378,769.466,1102.479,582.94,1256.48,795.136,1219.836,1054.14
19.998,826.584,517.931,744.495,737.514,900.032,770.249,1104.214,583.864,1257.603,796.675,1219.599,1055.994
20.048,829.292,516.437,745.797,736.11,901.414,771.244,1107.54,586.987,1259.658,800.838,1221.187,1058.611
20.081,831.359,516.253,744.568,735.672,902.672,771.962,1110.386,588.692,1261.113,803.587,1220.988,1059.662
20.114,833.522,516.299,742.728,735.149,903.634,773.208,1113.815,589.377,1262.451,805.763,1220.212,1059.771
20.148,836.076,516.167,740.806,733.985,903.844,774.532,1117.711,588.91,1264.072,807.033,1219.905,1060.116
20.181,839.355,515.857,739.491,732.4,904.039,775.371,1122.201,587.632,1265.782,807.553,1219.66,1060.538
20.214,843.136,515.264,738.357,730.384,903.852,776.88,1126.885,586.078,1267.84,807.417,1218.9,1060.801
20.248,847.196,514.453,737.353,728.249,903.299,779.223,1131.728,584.447,1270.458,807.219,1218.455,1060.923
20.281,851.475,513.361,736.471,726.399,902.564,782.524,1136.582,583.092,1273.473,807.595,1218.85,1061.722
20.314,855.638,511.953,734.665,724.802,901.506,786.588,1141.054,581.959,1276.775,808.224,1219.396,1062.279
20.364,860.526,510.658,730.507,724.354,898.545,796.428,1147.314,581.193,1282.941,810.486,1220.306,1063.265
20.398,862.832,510.767,726.713,725.428,894.647,805.922,1150.916,581.028,1286.699,812.676,1220.89,1064.022
20.431,864.135,511.709,722.629,727.821,890.675,818.117,1153.83,581.076,1290.325,814.858,1221.564,1064.447
20.464,864.137,513.417,718.981,731.825,885.758,832.472,1156.02,581.57,1293.731,817.428,1221.944,1064.665
20.498,862.971,515.618,715.797,737.133,880.805,848.74,1157.388,582.311,1296.767,820.003,1222.16,1064.873
20.531,861.087,518.485,712.893,743.365,876.469,865.38,1158.104,582.538,1299.26,821.77,1222.291,1064.737
20.564,858.526,521.821,710.324,750.261,873.527,882.412,1158.219,582.584,1300.7,823.5,1222.437,1064.685
20.598,855.315,525.613,708.291,758.022,871.426,899.036,1157.844,582.012,1301.578,824.577,1221.982,1064.395
20.631,851.465,529.908,706.426,766.558,870.007,915.308,1156.939,581.704,1302.593,825.603,1221.793,1064.522
20.664,847.263,534.68,704.911,775.971,868.309,932.501,1155.641,581.448,1303.857,826.273,1221.517,1064.398
20.714,840.361,542.384,703.757,791.262,865.112,960.802,1152.74,581.584,1305.993,827.705,1221.747,1064.172
20.748,835.541,547.805,703.347,801.725,862.383,981.271,1150.583,582.063,1307.306,829.374,1221.892,1064.07
20.781,830.804,553.124,703.989,812.377,860.058,1003.044,1148.227,582.723,1308.577,831.35,1221.573,1063.712
20.814,825.645,557.977,704.944,822.908,857.538,1024.809,1145.589,584.387,1311.32,833.751,1221.141,1062.769
20.848,820.847,561.831,706.993,832.653,854.594,1046.333,1143.205,586.973,1315.598,836.316,1222.181,1062.507
20.881,816.513,565.699,708.704,841.539,852.799,1062.714,1141.078,589.011,1318.86,838.186,1224.461,1062.814
20.914,812.315,569.291,710.077,848.711,851.703,1077.358,1138.947,590.084,1320.661,839.067,1224.654,1063.222
20.948,808.116,572.164,710.272,854.312,850.528,1090.191,1136.733,590.041,1321.071,838.698,1224.089,1063.73
20.981,804.24,574.961,710.126,858.828,849.092,1100.657,1134.32,589.14,1320.217,837.085,1223.81,1063.738
21.031,798.507,580.147,712.605,865.225,847.02,1114.074,1130.459,588.262,1317.258,834.846,1222.863,1063.112
