filename,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,left_shoulder,left_shoulder,left_shoulder,right_shoulder,right_shoulder,right_shoulder,left_elbow,left_elbow,left_elbow,right_elbow,right_elbow,right_elbow,left_wrist,left_wrist,left_wrist,right_wrist,right_wrist,right_wrist,left_eye_2D,left_eye_2D,left_eye_2D,right_eye_2D,right_eye_2D,right_eye_2D,left_shoulder_2D,left_shoulder_2D,left_shoulder_2D,right_shoulder_2D,right_shoulder_2D,right_shoulder_2D,left_elbow_2D,left_elbow_2D,left_elbow_2D,right_elbow_2D,right_elbow_2D,right_elbow_2D,left_wrist_2D,left_wrist_2D,left_wrist_2D,right_wrist_2D,right_wrist_2D,right_wrist_2D,root_position,root_position,root_position,root_pitch,root_yaw,root_roll,root_scale,root_scale,root_scale,look_at,look_at,look_at
0723_092514_0001.png,0.031,0.187,0.928,-0.034,0.186,0.926,0.145,0.008,1.118,-0.152,0.009,1.122,0.217,-0.245,1.032,-0.316,-0.195,1.209,0.226,-0.347,0.784,-0.305,-0.303,0.964,992.222,731.501,0.928,924.680,731.074,0.926,1083.510,546.933,1.118,831.224,547.769,1.122,1159.799,314.512,1.032,711.219,386.368,1.209,1233.822,119.198,0.784,658.799,240.954,0.964,-0.032,-0.973,1.404,0.000,0.297,0.000,-0.001,-0.035,-0.016,0.107,-0.936,1.539
0723_092514_0002.png,-0.007,0.156,0.932,-0.072,0.163,0.946,0.110,-0.001,1.160,-0.181,-0.016,1.095,0.206,-0.211,1.302,-0.303,-0.255,1.043,0.339,-0.267,1.071,-0.207,-0.339,0.802,952.598,698.787,0.932,887.607,703.800,0.946,1050.197,538.780,1.160,802.943,525.740,1.095,1110.833,385.800,1.302,683.649,307.322,1.043,1261.082,302.716,1.071,714.852,137.817,0.802,-0.034,-0.960,1.401,0.000,-345.921,0.000,-0.005,0.001,-0.038,-0.249,-1.076,1.378
0723_092514_0003.png,0.045,0.164,0.939,-0.020,0.162,0.936,0.164,-0.008,1.097,-0.123,0.004,1.151,0.153,-0.257,0.986,-0.212,-0.167,0.943,-0.004,-0.345,0.788,-0.301,-0.333,0.741,1005.349,706.640,0.939,939.386,704.325,0.936,1102.614,532.847,1.097,858.020,543.606,1.151,1107.676,291.738,0.986,746.047,372.010,0.943,955.721,122.995,0.788,573.783,112.413,0.741,-0.031,-0.971,1.403,0.000,-9.896,0.000,0.012,0.018,-0.023,-0.074,-1.034,1.450
0723_092514_0004.png,0.014,0.168,0.932,-0.051,0.171,0.938,0.127,0.001,1.143,-0.162,-0.007,1.111,0.221,-0.179,0.945,-0.272,-0.254,1.158,0.316,-0.355,0.755,-0.303,-0.326,0.898,973.962,711.550,0.932,908.648,713.728,0.938,1065.780,540.450,1.143,820.972,534.137,1.111,1182.472,359.768,0.945,736.709,331.628,1.158,1357.795,93.127,0.755,638.519,195.129,0.898,-0.036,-0.962,1.401,0.000,-352.327,0.000,0.019,-0.018,-0.034,-0.068,-0.917,1.705
0723_092514_0005.png,0.029,0.156,0.938,-0.037,0.156,0.938,0.150,-0.013,1.108,-0.147,-0.006,1.138,0.200,-0.187,1.303,-0.316,-0.199,1.053,0.220,-0.263,1.053,-0.424,-0.318,0.845,989.507,698.599,0.938,922.427,697.729,0.938,1088.858,528.525,1.108,837.346,534.581,1.138,1105.570,403.868,1.303,674.750,360.675,1.053,1158.696,302.545,1.053,483.122,181.552,0.845,-0.025,-0.966,1.402,0.000,-4.739,0.000,-0.005,0.021,0.002,-0.067,-0.919,1.742
0723_092514_0006.png,0.017,0.176,0.935,-0.051,0.177,0.934,0.131,0.000,1.132,-0.176,-0.006,1.107,0.188,-0.255,1.062,-0.208,-0.248,0.992,-0.001,-0.310,0.880,-0.057,-0.331,0.791,977.460,719.278,0.935,908.133,719.664,0.934,1069.970,539.756,1.132,809.236,534.929,1.107,1128.706,311.173,1.062,760.476,302.253,0.992,958.672,204.685,0.880,891.960,142.074,0.791,-0.026,-0.968,1.403,0.000,-354.151,0.000,-0.036,-0.009,0.007,0.164,-0.890,1.268
0723_092514_0007.png,0.006,0.148,0.942,-0.059,0.152,0.949,0.124,-0.010,1.148,-0.171,-0.019,1.112,0.289,-0.218,1.097,-0.265,-0.216,0.945,0.384,-0.316,0.864,-0.300,-0.356,0.717,966.377,689.358,0.942,900.641,692.064,0.949,1062.811,531.456,1.148,813.323,524.080,1.112,1210.743,350.592,1.097,693.795,322.159,0.945,1381.933,192.852,0.864,562.480,67.051,0.717,-0.032,-0.960,1.401,0.000,-351.685,0.000,-0.004,0.031,-0.024,-0.125,-1.052,1.308
0723_092514_0008.png,0.046,0.159,0.922,-0.022,0.155,0.921,0.173,-0.016,1.074,-0.126,0.002,1.154,0.197,-0.195,1.279,-0.303,-0.199,1.104,0.350,-0.257,1.067,-0.329,-0.308,0.869,1007.472,703.842,0.922,937.106,700.234,0.921,1113.014,525.695,1.074,856.189,541.925,1.154,1106.137,394.955,1.279,698.854,368.528,1.104,1272.209,311.127,1.067,600.072,203.090,0.869,-0.026,-0.965,1.402,0.000,-14.275,0.000,-0.044,-0.013,0.013,-0.150,-1.278,1.375
0723_092514_0009.png,0.026,0.171,0.938,-0.037,0.169,0.932,0.131,-0.009,1.118,-0.156,-0.008,1.122,0.196,-0.212,1.288,-0.280,-0.212,1.250,0.252,-0.282,1.044,-0.426,-0.283,1.049,986.454,713.199,0.938,921.897,712.237,0.932,1071.591,532.268,1.118,827.603,533.111,1.122,1104.907,383.743,1.288,747.380,378.737,1.250,1189.987,282.645,1.044,573.936,283.473,1.049,-0.023,-0.963,1.401,0.000,0.318,0.000,0.032,-0.010,0.012,0.260,-0.890,1.410
0723_092514_0010.png,0.007,0.173,0.929,-0.060,0.176,0.935,0.128,-0.001,1.133,-0.175,-0.009,1.095,0.286,-0.208,1.216,-0.313,-0.222,1.198,0.201,-0.280,0.984,-0.381,-0.284,0.958,967.411,717.244,0.929,899.051,718.764,0.935,1067.075,539.412,1.133,807.746,531.839,1.095,1183.261,377.726,1.216,711.647,363.955,1.198,1154.246,269.378,0.984,582.158,258.313,0.958,-0.030,-0.970,1.403,0.000,-351.523,0.000,-0.028,-0.004,0.037,-0.082,-0.810,1.546
